2020-08-23,ג' אלול תש''פ
2020-08-24,ד' אלול תש''פ
2020-08-25,ה' אלול תש''פ
2020-08-26,ו' אלול תש''פ
2020-08-27,ז' אלול תש''פ
2020-08-28,ח' אלול תש''פ
2020-08-29,ט' אלול תש''פ
2020-08-30,י' אלול תש''פ
2020-08-31,י''א אלול תש''פ
2020-09-01,י''ב אלול תש''פ
2020-09-02,י''ג אלול תש''פ
2020-09-03,י''ד אלול תש''פ
2020-09-04,ט''ו אלול תש''פ
2020-09-05,ט''ז אלול תש''פ
2020-09-06,י''ז אלול תש''פ
2020-09-07,י''ח אלול תש''פ
2020-09-08,י''ט אלול תש''פ
2020-09-09,כ' אלול תש''פ
2020-09-10,כ''א אלול תש''פ
2020-09-11,כ''ב אלול תש''פ
2020-09-12,כ''ג אלול תש''פ
2020-09-13,כ''ד אלול תש''פ
2020-09-14,כ''ה אלול תש''פ
2020-09-15,כ''ו אלול תש''פ
2020-09-16,כ''ז אלול תש''פ
2020-09-17,כ''ח אלול תש''פ
2020-09-18,כ''ט אלול תש''פ
2020-09-19,א' תשרי תש''פ
2020-09-20,ב' תשרי תש''פ
2020-09-21,ג' תשרי תש''פ
2020-09-22,ד' תשרי תש''פ
2020-09-23,ה' תשרי תש''פ
2020-09-24,ו' תשרי תש''פ
2020-09-25,ז' תשרי תש''פ
2020-09-26,ח' תשרי תש''פ
2020-09-27,ט' תשרי תש''פ
2020-09-28,י' תשרי תש''פ
2020-09-29,י''א תשרי תש''פ
2020-09-30,י''ב תשרי תש''פ
